game_id,season_id,last_modified,sr_id
96ef6004-4293-4336-91cf-e068085be282,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:24:09Z,sr:match:52631979
f6d59369-2ff6-45a9-aea5-dda67fc7744f,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T06:08:50Z,sr:match:52630175
c674ad79-6b2e-49ae-843a-e7d5e10977cf,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:24:02Z,sr:match:52630065
5d9b499e-d87b-495b-b4bc-90ff44f99870,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:23:32Z,sr:match:52631865
2d4998c1-55b7-4aeb-b4db-05b431e31e57,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T05:52:54Z,sr:match:52631185
2301364a-135e-4442-a7a4-6a9912234326,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:21:38Z,sr:match:52630099
3b23a758-6e72-4f3a-bf9e-95e0085a37d4,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:23:45Z,sr:match:52631761
a95eb85d-11cb-4723-80e6-f8955ef1593b,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:24:25Z,sr:match:52631073
8abbfd15-11eb-48a5-a40e-dbc5b0878c2d,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:24:47Z,sr:match:52631223
37499d8b-2e38-4ca0-a2d6-16703732e293,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T05:33:08Z,sr:match:52630761
7f9250c5-fe99-4d67-b4ef-f1597b1d1e50,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:23:14Z,sr:match:52631167
8f909782-9617-4e33-8426-109926c2bc0b,970c9b10-2985-4718-b89d-96cfdc0a5e98,2024-11-09T16:22:06Z,sr:match:52631257
